                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9655,                 3.8036,                  1.742,                 0.0155,                0.21729,                0.01251,                0.00585,                 2.3175,                 3.6025,                 1.3381,                0.00018,                0.00018,                0.00018
                      2,                 2.4136,                 2.8699,                 1.3466,                0.03267,                0.45794,                0.09676,                0.04406,                 2.1069,                 3.1318,                 1.1368,             0.00037248,             0.00037248,             0.00037248
                      3,                 2.2262,                 2.0569,                 1.1874,                 0.0325,                0.45561,                0.04841,                0.01893,                 2.2778,                 2.9374,                  1.173,             0.00055703,             0.00055703,             0.00055703
                      4,                 2.1101,                 1.8426,                 1.1638,                0.04133,                0.57944,                0.28327,                0.13336,                 1.7488,                 2.5769,                 1.0651,             0.00073367,             0.00073367,             0.00073367
                      5,                 1.9627,                 1.7678,                 1.1828,                0.04183,                0.58645,                 0.3317,                0.14786,                  1.894,                 2.4837,                 1.1016,             0.00090238,             0.00090238,             0.00090238
                      6,                 2.0053,                 1.7262,                 1.1497,                0.07729,                0.54907,                 0.4217,                0.22923,                 1.5897,                 2.2703,                 1.0522,              0.0010632,              0.0010632,              0.0010632
                      7,                 1.8716,                 1.5906,                 1.1157,                0.65055,                0.35232,                0.34843,                0.17201,                 1.6411,                 2.2307,                 1.0473,              0.0012161,              0.0012161,              0.0012161
                      8,                 2.1316,                 1.8693,                  1.137,                0.44684,                0.25668,                0.24764,                0.11759,                 1.7582,                 2.2085,                  1.082,               0.001361,               0.001361,               0.001361
                      9,                 1.9513,                 1.6715,                 1.1581,                0.66044,                0.36809,                 0.4097,                 0.1902,                 1.7707,                 1.9216,                 1.1036,               0.001498,               0.001498,               0.001498
                     10,                 2.0827,                 1.6586,                 1.1842,                0.76654,                0.19179,                0.38391,                0.19153,                 1.6848,                 2.1925,                 1.0858,              0.0016272,              0.0016272,              0.0016272
                     11,                 1.8428,                 1.5416,                  1.136,                0.79769,                0.20267,                0.36586,                0.19606,                 1.7048,                 2.1325,                 1.1094,               0.001604,               0.001604,               0.001604
                     12,                 1.8265,                 1.5806,                 1.1369,                0.76098,                0.36449,                0.42449,                0.23232,                 1.7011,                  1.688,                 1.1251,               0.001604,               0.001604,               0.001604
                     13,                 1.8006,                 1.5058,                 1.1247,                0.64514,                    0.5,                  0.482,                0.24557,                 1.7654,                 1.2984,                 1.1667,              0.0015644,              0.0015644,              0.0015644
                     14,                 2.0543,                 1.8993,                 1.1452,                0.61606,                0.53985,                0.49585,                0.24648,                 1.7881,                 1.3248,                 1.1586,              0.0015248,              0.0015248,              0.0015248
                     15,                 2.1178,                  1.766,                 1.1984,                0.67097,                0.49533,                0.44694,                 0.2237,                 1.7558,                 1.3316,                 1.1323,              0.0014852,              0.0014852,              0.0014852
                     16,                  1.866,                 1.5088,                 1.1288,                0.68384,                0.50536,                0.48152,                0.27053,                 1.5917,                 1.2417,                 1.0761,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.9615,                 1.6724,                 1.1321,                0.64629,                0.49948,                0.45947,                0.25802,                  1.512,                 1.2977,                 1.0516,               0.001406,               0.001406,               0.001406
                     18,                 2.0137,                 1.6461,                 1.1546,                0.59899,                0.47114,                0.44116,                0.23452,                 1.5553,                 1.3696,                  1.054,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.8459,                 1.4613,                 1.1246,                 0.6382,                0.46729,                0.46652,                0.25132,                 1.5611,                 1.3292,                  1.058,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.7447,                 1.4091,                 1.1304,                0.71458,                0.45561,                0.49782,                0.27344,                 1.6028,                 1.2562,                 1.0537,              0.0012872,              0.0012872,              0.0012872
